check_group,ASIN,Family,30d_sales,original_title,final_title,title_chars,final_item_highlights,title_source,highlights_source,flags,processing_notes
1-CRUISE_PLACEHOLDER,B0GPRCPJXY,Cruise,35.98,"Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -8"" Inches, Personalized Magnet with Photo, Name & Birthdat","Custom Birthday Custom Cruise Door Magnet 8 Inch, Personalized, Made in USA",75,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",REVIEWER_TITLE,ORIGINAL,,
1-CRUISE_PLACEHOLDER,B0GPRTFYFK,Cruise,23.99,"Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -12"" Inches, Personalized Magnet with Photo, Name & Birthda","Custom Birthday Cruise Door Magnet 12 Inch, Personalized, Made in USA",69,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",REVIEWER_TITLE,ORIGINAL,TRIMMED_OVER_75,Reviewer title was 76 chars; dropped duplicate 'Custom' to fit 75
1-CRUISE_PLACEHOLDER,B0GLHYCFSX,Cruise,21.99,"Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -9x10 Inches, Personalized Magnet with Photo, Name & Birthd","Custom Birthday Cruise Door Magnet 10 Inch, Personalized, Made in USA",69,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",REVIEWER_TITLE,ORIGINAL,TRIMMED_OVER_75,"Reviewer title was 76 chars (also changed 9x10 -> 10, kept per reviewer); dropped duplicate 'Custom' to fit 75"
1-CRUISE_PLACEHOLDER,B0BY3B9FL5,Cruise,8.99,"Magnet Me Up This Side Up Right Side Up Pineapple with Sunglasses Magnet Decal, 3x6 Inch, Heavy Duty Automotive Magnet f","This Side Up Right Side Up Cruise Door Magnet 3x6 Inch, Personalized",68,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses",KEPT_NEW_TITLE,REVIEWER_FIX,,
1-CRUISE_PLACEHOLDER,B0F1NJWF6B,Cruise,0,"Magnet Me Up Friends Don't Let Friends Cruise Alone Custom Text Magnetic Decal – 8x10 Inch, Personalized Cruise Door Mag","Friends Don't Let Friends Alone Cruise Door Magnet 8x10 Inch, Personalized",74,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",APPROVED_OK,ORIGINAL,,
1-CRUISE_PLACEHOLDER,B0F1NJTH4K,Cruise,0,"Magnet Me Up Friends Don't Let Friends Cruise Alone Custom Text Magnetic Decal – 6.5x7.5 Inch, Personalized Cruise Door","Friends Don't Let Friends Cruise Door Magnet 6.5x7.5 Inch, Personalized",71,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",APPROVED_OK,ORIGINAL,,
1-CRUISE_PLACEHOLDER,B0GN4J3D81,Cruise,0,"Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 10 Inch, Personalized with Name, Magn","Custom Cruise Door Magnet 10 Inch, Personalized, Tropical Pineapple Club",72,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA",REVIEWER_TITLE,REVIEWER_FIX,,
1-CRUISE_PLACEHOLDER,B0GN5BDL46,Cruise,0,"Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 8 Inch, Personalized with Name, Magne","Custom Cruise Door Magnet 8 Inch, Personalized, Tropical Pineapple Club",71,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA",REVIEWER_TITLE,REVIEWER_FIX,,
1-CRUISE_PLACEHOLDER,B0GHS1JF73,Cruise,0,"Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 6 Inch, Personalized with Name, Magne","Custom Cruise Door Magnet 6 Inch, Personalized, Tropical Pineapple Club",71,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA",REVIEWER_TITLE,REVIEWER_FIX,,
1-CRUISE_PLACEHOLDER,B0GN3TLM47,Cruise,0,"Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 12 Inch, Personalized with Name, Magn","Custom Cruise Door Magnet 12 Inch, Personalized, Tropical Pineapple Club",72,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA",REVIEWER_TITLE,REVIEWER_FIX,,
1-CRUISE_PLACEHOLDER,B0BY393FRY,Cruise,0,"Magnet Me Up Combo 2 Pk This Side Up Right Side Up and Upside Down Pineapple with Sunglasses Magnet Decal, 3x6 Inch, Aut","Combo This Side Up Right Cruise Door Magnet 3x6 Inch 2 Pack, Personalized",73,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses",KEPT_NEW_TITLE,REVIEWER_FIX,,
1-CRUISE_PLACEHOLDER,B0BY3B9TDM,Cruise,0,"Magnet Me Up Combo 2 Pk This Side Up Right Side Up and Upside Down Pineapple with Sunglasses Magnet Decal, 4x6 Inch, Aut","Combo This Side Up Right Cruise Door Magnet 4x6 Inch 2 Pack, Personalized",73,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses",KEPT_NEW_TITLE,REVIEWER_FIX,,
1-CRUISE_PLACEHOLDER,B0BY3DK6PB,Cruise,0,"Magnet Me Up This Side Up Upside Down Pineapple with Sunglasses Magnet Decal, 3x6 Inch, Heavy Duty Automotive Magnet for","This Side Up Upside Down Cruise Door Magnet 3x6 Inch, Personalized",66,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses",KEPT_NEW_TITLE,REVIEWER_FIX,,
1-CRUISE_PLACEHOLDER,B0BY3C9JDG,Cruise,0,"Magnet Me Up This Side Up Upside Down Pineapple with Sunglasses Magnet Decal, 4x8 Inch, Automotive Magnet for Car, Truck","This Side Up Upside Down Cruise Door Magnet 4x8 Inch, Personalized",66,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses",KEPT_NEW_TITLE,REVIEWER_FIX,,
1-CRUISE_PLACEHOLDER,B0BY3FYQQC,Cruise,0,"Magnet Me Up This Side Up Right Side Up Pineapple with Sunglasses Magnet Decal, 4x8 Inch, Automotive Magnet for Car, Tru","This Side Up Right Side Up Cruise Door Magnet 4x8 Inch, Personalized",68,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses",KEPT_NEW_TITLE,REVIEWER_FIX,,
1-CRUISE_PLACEHOLDER,B0GPRLBPFX,Cruise,0,"Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -5"" Inches, Personalized Magnet with Photo, Name & Birthdat","Custom Birthday Custom Cruise Door Magnet 5 Inch, Personalized, Made in USA",75,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",REVIEWER_TITLE,ORIGINAL,SIZE_CORRECTED,Reviewer title said 8 Inch but this is the 5 Inch listing; size restored
1-CRUISE_PLACEHOLDER,B0GPRLLKBL,Cruise,0,"Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -6"" Inches, Personalized Magnet with Photo, Name & Birthdat","Custom Birthday Custom Cruise Door Magnet 6 Inch, Personalized, Made in USA",75,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",REVIEWER_TITLE,ORIGINAL,SIZE_CORRECTED,Reviewer title said 8 Inch but this is the 6 Inch listing; size restored
2-TOP25_BY_SALES,B0DNKPPW1Q,Custom Vehicle,2507.5,Custom Car Magnet Signs – 30 Mil Magnetic Vehicle Signs – Upload Your Logo & Text – Weatherproof Business Magnets for Ca,"Custom Die Cut Car Magnet 30 Mil, Upload Logo, Made in USA",58,"Personalized magnetic business sign for vehicles & trucks, add your text, weatherproof",APPROVED_OK,ORIGINAL,,
2-TOP25_BY_SALES,B0CPYK1VGF,General Magnet,1099.96,"Magnet Me Up Customizable 5 Inch Round Magnet Pack, 100 Piece, Custom Magnet for Businesses, Personal Use, Choose Your T","Customizable Round Magnet 5 Inch 100 pc, Made in USA",52,"Heavy duty magnet, full color UV printed, made to order, image or logo, text",KEPT_NEW_TITLE,REVIEWER_FIX,,
2-TOP25_BY_SALES,B0CPYL2R1D,General Magnet,1076.74,"Magnet Me Up Customizable 5 Inch Round Magnet Pack, 50 Piece, Custom Magnet for Businesses, Personal Use, Choose Your Te","Customizable Round Magnet 5 Inch 50 pc, Made in USA",51,"Heavy duty magnet, full color UV printed, made to order, image or logo, text",KEPT_NEW_TITLE,REVIEWER_FIX,,
2-TOP25_BY_SALES,B0D9MDF94J,General Magnet,999.98,"Magnet Me Up Customizable 5 Inch Round Magnet Pack, 250 Pack, Custom Magnet for Businesses, Personal Use, Choose Your Te","Customizable Round Magnet 5 Inch 250 Pack, Made in USA",54,"Heavy duty magnet, full color UV printed, made to order, image or logo, text",KEPT_NEW_TITLE,REVIEWER_FIX,,
2-TOP25_BY_SALES,B0DB8W448N,General Magnet,893.97,"Magnet Me Up 6 Inch Round Car Magnet -100 Pack, Upload Your Image, Logo or Text - Made in USA, Full Color, 30 Mil Heavy-","Customizable Round Magnet 6 Inch 100 Pack, Made in USA",54,"Heavy duty magnet, full color UV printed, made to order, image or logo, text",REVIEWER_TITLE,REVIEWER_FIX,,
2-TOP25_BY_SALES,B0H12WLCJZ,General Magnet,881.99,"Magnet Me Up Customizable 5"" Round Magnet Pack, 500 Pack, Custom Magnet for Businesses, Personal Use, Choose Your Text,","Customizable Round Magnet 5 Inch 500 Pack, Made in USA",54,"Heavy duty magnet, full color UV printed, made to order, image or logo, text",KEPT_NEW_TITLE,REVIEWER_FIX,,
